Starting


T: 0.1 | S: 0000.9329 | V: 009.3286 | A: 093.2861 | F: 05.4293 | M 0.05721
T: 0.2 | S: 0002.9884 | V: 020.5555 | A: 112.2692 | F: 06.4233 | M 0.05606
T: 0.3 | S: 0006.5377 | V: 035.4932 | A: 149.3765 | F: 08.3745 | M 0.05458
T: 0.4 | S: 0011.7797 | V: 052.4194 | A: 169.2623 | F: 09.2389 | M 0.05294
T: 0.5 | S: 0018.7195 | V: 069.3978 | A: 169.7841 | F: 08.9882 | M 0.05130
T: 0.6 | S: 0026.9525 | V: 082.3300 | A: 129.3215 | F: 06.6336 | M 0.04998
T: 0.7 | S: 0036.2448 | V: 092.9236 | A: 105.9364 | F: 05.2947 | M 0.04883
T: 0.8 | S: 0046.3509 | V: 101.0604 | A: 081.3683 | F: 03.9732 | M 0.04784
T: 0.9 | S: 0057.0212 | V: 106.7036 | A: 056.4318 | F: 02.6999 | M 0.04702
T: 1.0 | S: 0068.2228 | V: 112.0156 | A: 053.1196 | F: 02.4977 | M 0.04620
T: 1.1 | S: 0079.7052 | V: 114.8241 | A: 028.0852 | F: 01.2975 | M 0.04554
T: 1.2 | S: 0091.2293 | V: 115.2407 | A: 004.1663 | F: 00.1897 | M 0.04505
T: 1.3 | S: 0102.7927 | V: 115.6345 | A: 003.9378 | F: 00.1774 | M 0.04455
T: 1.4 | S: 0114.1690 | V: 113.7625 | A: -18.7201 | F: -0.8341 | M 0.04423
T: 1.5 | S: 0125.3747 | V: 112.0579 | A: -17.0457 | F: -0.7539 | M 0.04390
T: 1.6 | S: 0136.1975 | V: 108.2271 | A: -38.3084 | F: -1.6816 | M 0.04373
T: 1.7 | S: 0146.6706 | V: 104.7315 | A: -34.9562 | F: -1.5287 | M 0.04357
T: 1.8 | S: 0156.8239 | V: 101.5327 | A: -31.9880 | F: -1.3937 | M 0.04340
T: 1.9 | S: 0166.4533 | V: 096.2941 | A: -52.3861 | F: -2.2738 | M 0.04340
T: 2.0 | S: 0175.6016 | V: 091.4835 | A: -48.1057 | F: -2.0880 | M 0.04340
T: 2.1 | S: 0184.3062 | V: 087.0460 | A: -44.3746 | F: -1.9260 | M 0.04340
T: 2.2 | S: 0192.5998 | V: 082.9358 | A: -41.1025 | F: -1.7840 | M 0.04340
T: 2.3 | S: 0200.5112 | V: 079.1141 | A: -38.2167 | F: -1.6588 | M 0.04340
T: 2.4 | S: 0208.0660 | V: 075.5482 | A: -35.6588 | F: -1.5477 | M 0.04340
T: 2.5 | S: 0215.2870 | V: 072.2101 | A: -33.3809 | F: -1.4489 | M 0.04340
T: 2.6 | S: 0222.1946 | V: 069.0758 | A: -31.3436 | F: -1.3604 | M 0.04340
T: 2.7 | S: 0228.8071 | V: 066.1243 | A: -29.5145 | F: -1.2810 | M 0.04340
T: 2.8 | S: 0235.1408 | V: 063.3377 | A: -27.8664 | F: -1.2095 | M 0.04340
T: 2.9 | S: 0241.2108 | V: 060.7001 | A: -26.3763 | F: -1.1448 | M 0.04340
T: 3.0 | S: 0247.0306 | V: 058.1976 | A: -25.0250 | F: -1.0862 | M 0.04340
T: 3.1 | S: 0252.6124 | V: 055.8180 | A: -23.7960 | F: -1.0328 | M 0.04340
T: 3.2 | S: 0257.9674 | V: 053.5504 | A: -22.6754 | F: -0.9842 | M 0.04340
T: 3.3 | S: 0263.1060 | V: 051.3853 | A: -21.6511 | F: -0.9397 | M 0.04340
T: 3.4 | S: 0268.0374 | V: 049.3140 | A: -20.7127 | F: -0.8990 | M 0.04340
T: 3.5 | S: 0272.7702 | V: 047.3289 | A: -19.8512 | F: -0.8616 | M 0.04340
T: 3.6 | S: 0277.3126 | V: 045.4230 | A: -19.0588 | F: -0.8272 | M 0.04340
T: 3.7 | S: 0281.6716 | V: 043.5902 | A: -18.3286 | F: -0.7955 | M 0.04340
T: 3.8 | S: 0285.8540 | V: 041.8247 | A: -17.6548 | F: -0.7663 | M 0.04340
T: 3.9 | S: 0289.8662 | V: 040.1215 | A: -17.0319 | F: -0.7393 | M 0.04340
T: 4.0 | S: 0293.7138 | V: 038.4760 | A: -16.4554 | F: -0.7142 | M 0.04340
T: 4.1 | S: 0297.4022 | V: 036.8838 | A: -15.9212 | F: -0.6910 | M 0.04340
T: 4.2 | S: 0300.9363 | V: 035.3413 | A: -15.4257 | F: -0.6695 | M 0.04340
T: 4.3 | S: 0304.3208 | V: 033.8447 | A: -14.9655 | F: -0.6496 | M 0.04340
T: 4.4 | S: 0307.5599 | V: 032.3909 | A: -14.5378 | F: -0.6310 | M 0.04340
T: 4.5 | S: 0310.6576 | V: 030.9769 | A: -14.1401 | F: -0.6137 | M 0.04340
T: 4.6 | S: 0313.6175 | V: 029.5999 | A: -13.7700 | F: -0.5977 | M 0.04340
T: 4.7 | S: 0316.4433 | V: 028.2574 | A: -13.4255 | F: -0.5827 | M 0.04340
T: 4.8 | S: 0319.1380 | V: 026.9469 | A: -13.1047 | F: -0.5688 | M 0.04340
T: 4.9 | S: 0321.7046 | V: 025.6663 | A: -12.8059 | F: -0.5558 | M 0.04340
T: 5.0 | S: 0324.1460 | V: 024.4136 | A: -12.5276 | F: -0.5437 | M 0.04340
T: 5.1 | S: 0326.4646 | V: 023.1867 | A: -12.2684 | F: -0.5325 | M 0.04340
T: 5.2 | S: 0328.6630 | V: 021.9840 | A: -12.0272 | F: -0.5220 | M 0.04340
T: 5.3 | S: 0330.7434 | V: 020.8037 | A: -11.8028 | F: -0.5123 | M 0.04340
T: 5.4 | S: 0332.7078 | V: 019.6443 | A: -11.5942 | F: -0.5032 | M 0.04340
T: 5.5 | S: 0334.5583 | V: 018.5042 | A: -11.4006 | F: -0.4948 | M 0.04340
T: 5.6 | S: 0336.2965 | V: 017.3821 | A: -11.2209 | F: -0.4870 | M 0.04340
T: 5.7 | S: 0337.9241 | V: 016.2767 | A: -11.0546 | F: -0.4798 | M 0.04340
