n=3, max=8.8121, avg=1.41054, rms=2.45605
n=4, max=7.39675, avg=1.31783, rms=2.05224
n=5, max=6.22282, avg=1.30802, rms=1.88403
n=6, max=4.73662, avg=0.859609, rms=1.41459
n=7, max=4.59256, avg=0.826078, rms=1.37565
n=8, max=4.65946, avg=0.757684, rms=1.36932
n=9, max=3.95811, avg=0.772138, rms=1.25856
n=10, max=2.9746, avg=0.738657, rms=1.08715
n=11, max=2.2693, avg=0.588652, rms=0.786703
n=12, max=1.32428, avg=0.377158, rms=0.524126
n=13, max=0.756284, avg=0.221795, rms=0.294523
n=14, max=0.33663, avg=0.113692, rms=0.148636
n=15, max=0.141612, avg=0.0468896, rms=0.0623699
n=16, max=0.0492573, avg=0.0163721, rms=0.0222757
n=17, max=0.0128982, avg=0.00422241, rms=0.00610829
n=18, max=0.00255303, avg=0.000741327, rms=0.00116254
n=19, max=0.00156343, avg=0.00017866, rms=0.00049114 
