Working with input file: 
./input/ran50.dat
Sort Method: HeapSort

Number of Comparisons: 409
Number of Swaps: 242


====================================================================
Verbose Output: 
C: 1 S: 0 | Compare [25] [6]
C: 1 S: 1 | Swap [6] [25]
C: 2 S: 1 | Compare [42] [22]
C: 3 S: 1 | Compare [12] [42]
C: 3 S: 2 | Swap [22] [42]
C: 4 S: 2 | Compare [36] [47]
C: 5 S: 2 | Compare [20] [47]
C: 6 S: 2 | Compare [26] [14]
C: 7 S: 2 | Compare [16] [26]
C: 7 S: 3 | Swap [14] [26]
C: 8 S: 3 | Compare [4] [28]
C: 9 S: 3 | Compare [9] [28]
C: 10 S: 3 | Compare [21] [19]
C: 11 S: 3 | Compare [43] [21]
C: 11 S: 4 | Swap [19] [43]
C: 12 S: 4 | Compare [31] [48]
C: 13 S: 4 | Compare [15] [48]
C: 14 S: 4 | Compare [41] [27]
C: 15 S: 4 | Compare [8] [41]
C: 15 S: 5 | Swap [27] [41]
C: 16 S: 5 | Compare [3] [23]
C: 17 S: 5 | Compare [35] [23]
C: 17 S: 6 | Swap [23] [35]
C: 18 S: 6 | Compare [32] [1]
C: 19 S: 6 | Compare [44] [32]
C: 19 S: 7 | Swap [1] [44]
C: 20 S: 7 | Compare [45] [50]
C: 21 S: 7 | Compare [10] [50]
C: 22 S: 7 | Compare [38] [34]
C: 23 S: 7 | Compare [37] [38]
C: 23 S: 8 | Swap [34] [38]
C: 24 S: 8 | Compare [46] [33]
C: 25 S: 8 | Compare [2] [46]
C: 25 S: 9 | Swap [33] [46]
C: 26 S: 9 | Compare [42] [18]
C: 27 S: 9 | Compare [25] [42]
C: 27 S: 10 | Swap [18] [42]
C: 28 S: 10 | Compare [22] [18]
C: 29 S: 10 | Compare [12] [22]
C: 29 S: 11 | Swap [18] [22]
C: 30 S: 11 | Compare [26] [24]
C: 31 S: 11 | Compare [47] [26]
C: 31 S: 12 | Swap [24] [47]
C: 32 S: 12 | Compare [36] [24]
C: 33 S: 12 | Compare [20] [36]
C: 33 S: 13 | Swap [24] [36]
C: 34 S: 13 | Compare [43] [49]
C: 35 S: 13 | Compare [28] [49]
C: 36 S: 13 | Compare [41] [11]
C: 37 S: 13 | Compare [48] [41]
C: 37 S: 14 | Swap [11] [48]
C: 38 S: 14 | Compare [31] [11]
C: 39 S: 14 | Compare [15] [31]
C: 39 S: 15 | Swap [11] [31]
C: 40 S: 15 | Compare [44] [30]
C: 41 S: 15 | Compare [35] [44]
C: 41 S: 16 | Swap [30] [44]
C: 42 S: 16 | Compare [32] [30]
C: 43 S: 16 | Compare [1] [32]
C: 43 S: 17 | Swap [30] [32]
C: 44 S: 17 | Compare [38] [5]
C: 45 S: 17 | Compare [50] [38]
C: 45 S: 18 | Swap [5] [50]
C: 46 S: 18 | Compare [45] [5]
C: 47 S: 18 | Compare [10] [45]
C: 47 S: 19 | Swap [5] [45]
C: 48 S: 19 | Compare [42] [7]
C: 49 S: 19 | Compare [46] [42]
C: 49 S: 20 | Swap [7] [46]
C: 50 S: 20 | Compare [33] [7]
C: 51 S: 20 | Compare [2] [33]
C: 51 S: 21 | Swap [7] [33]
C: 52 S: 21 | Compare [49] [39]
C: 53 S: 21 | Compare [47] [49]
C: 53 S: 22 | Swap [39] [49]
C: 54 S: 22 | Compare [43] [39]
C: 55 S: 22 | Compare [28] [43]
C: 55 S: 23 | Swap [39] [43]
C: 56 S: 23 | Compare [21] [39]
C: 57 S: 23 | Compare [19] [39]
C: 58 S: 23 | Compare [44] [13]
C: 59 S: 23 | Compare [48] [44]
C: 59 S: 24 | Swap [13] [48]
C: 60 S: 24 | Compare [41] [13]
C: 61 S: 24 | Compare [31] [41]
C: 61 S: 25 | Swap [13] [41]
C: 62 S: 25 | Compare [27] [13]
C: 63 S: 25 | Compare [8] [27]
C: 63 S: 26 | Swap [13] [27]
C: 64 S: 26 | Compare [46] [17]
C: 65 S: 26 | Compare [50] [46]
C: 65 S: 27 | Swap [17] [50]
C: 66 S: 27 | Compare [38] [17]
C: 67 S: 27 | Compare [45] [38]
C: 67 S: 28 | Swap [17] [45]
C: 68 S: 28 | Compare [5] [17]
C: 69 S: 28 | Compare [10] [17]
C: 70 S: 28 | Compare [48] [40]
C: 71 S: 28 | Compare [49] [48]
C: 71 S: 29 | Swap [40] [49]
C: 72 S: 29 | Compare [43] [40]
C: 73 S: 29 | Compare [47] [43]
C: 73 S: 30 | Swap [40] [47]
C: 74 S: 30 | Compare [26] [40]
C: 75 S: 30 | Compare [36] [40]
C: 76 S: 30 | Compare [49] [29]
C: 77 S: 30 | Compare [50] [49]
C: 77 S: 31 | Swap [29] [50]
C: 78 S: 31 | Compare [46] [29]
C: 79 S: 31 | Compare [45] [46]
C: 79 S: 32 | Swap [29] [46]
C: 80 S: 32 | Compare [42] [29]
C: 81 S: 32 | Compare [33] [42]
C: 81 S: 33 | Swap [29] [42]
C: 82 S: 33 | Compare [22] [29]
C: 83 S: 33 | Compare [25] [29]
C: 83 S: 34 | Swap [50] [6]
C: 84 S: 34 | Compare [49] [6]
C: 85 S: 34 | Compare [46] [49]
C: 85 S: 35 | Swap [6] [49]
C: 86 S: 35 | Compare [48] [6]
C: 87 S: 35 | Compare [47] [48]
C: 87 S: 36 | Swap [6] [48]
C: 88 S: 36 | Compare [44] [6]
C: 89 S: 36 | Compare [41] [44]
C: 89 S: 37 | Swap [6] [44]
C: 90 S: 37 | Compare [32] [6]
C: 91 S: 37 | Compare [35] [32]
C: 91 S: 38 | Swap [6] [35]
C: 92 S: 38 | Compare [3] [6]
C: 93 S: 38 | Compare [23] [6]
C: 93 S: 39 | Swap [6] [23]
C: 93 S: 40 | Swap [49] [12]
C: 94 S: 40 | Compare [48] [12]
C: 95 S: 40 | Compare [46] [48]
C: 95 S: 41 | Swap [12] [48]
C: 96 S: 41 | Compare [44] [12]
C: 97 S: 41 | Compare [47] [44]
C: 97 S: 42 | Swap [12] [47]
C: 98 S: 42 | Compare [43] [12]
C: 99 S: 42 | Compare [40] [43]
C: 99 S: 43 | Swap [12] [43]
C: 100 S: 43 | Compare [39] [12]
C: 101 S: 43 | Compare [28] [39]
C: 101 S: 44 | Swap [12] [39]
C: 102 S: 44 | Compare [21] [12]
C: 103 S: 44 | Compare [19] [21]
C: 103 S: 45 | Swap [12] [21]
C: 103 S: 46 | Swap [48] [18]
C: 104 S: 46 | Compare [47] [18]
C: 105 S: 46 | Compare [46] [47]
C: 105 S: 47 | Swap [18] [47]
C: 106 S: 47 | Compare [44] [18]
C: 107 S: 47 | Compare [43] [44]
C: 107 S: 48 | Swap [18] [44]
C: 108 S: 48 | Compare [35] [18]
C: 109 S: 48 | Compare [41] [35]
C: 109 S: 49 | Swap [18] [41]
C: 110 S: 49 | Compare [27] [18]
C: 111 S: 49 | Compare [31] [27]
C: 111 S: 50 | Swap [18] [31]
C: 112 S: 50 | Compare [11] [18]
C: 113 S: 50 | Compare [15] [18]
C: 113 S: 51 | Swap [47] [20]
C: 114 S: 51 | Compare [44] [20]
C: 115 S: 51 | Compare [46] [44]
C: 115 S: 52 | Swap [20] [46]
C: 116 S: 52 | Compare [42] [20]
C: 117 S: 52 | Compare [45] [42]
C: 117 S: 53 | Swap [20] [45]
C: 118 S: 53 | Compare [38] [20]
C: 119 S: 53 | Compare [17] [38]
C: 119 S: 54 | Swap [20] [38]
C: 120 S: 54 | Compare [34] [20]
C: 121 S: 54 | Compare [37] [34]
C: 121 S: 55 | Swap [20] [37]
C: 121 S: 56 | Swap [46] [24]
C: 122 S: 56 | Compare [44] [24]
C: 123 S: 56 | Compare [45] [44]
C: 123 S: 57 | Swap [24] [45]
C: 124 S: 57 | Compare [42] [24]
C: 125 S: 57 | Compare [38] [42]
C: 125 S: 58 | Swap [24] [42]
C: 126 S: 58 | Compare [29] [24]
C: 127 S: 58 | Compare [33] [29]
C: 127 S: 59 | Swap [24] [33]
C: 128 S: 59 | Compare [7] [24]
C: 129 S: 59 | Compare [2] [24]
C: 129 S: 60 | Swap [45] [16]
C: 130 S: 60 | Compare [44] [16]
C: 131 S: 60 | Compare [42] [44]
C: 131 S: 61 | Swap [16] [44]
C: 132 S: 61 | Compare [41] [16]
C: 133 S: 61 | Compare [43] [41]
C: 133 S: 62 | Swap [16] [43]
C: 134 S: 62 | Compare [39] [16]
C: 135 S: 62 | Compare [40] [39]
C: 135 S: 63 | Swap [16] [40]
C: 136 S: 63 | Compare [26] [16]
C: 137 S: 63 | Compare [36] [26]
C: 137 S: 64 | Swap [16] [36]
C: 137 S: 65 | Swap [44] [14]
C: 138 S: 65 | Compare [43] [14]
C: 139 S: 65 | Compare [42] [43]
C: 139 S: 66 | Swap [14] [43]
C: 140 S: 66 | Compare [41] [14]
C: 141 S: 66 | Compare [40] [41]
C: 141 S: 67 | Swap [14] [41]
C: 142 S: 67 | Compare [35] [14]
C: 143 S: 67 | Compare [31] [35]
C: 143 S: 68 | Swap [14] [35]
C: 144 S: 68 | Compare [32] [14]
C: 145 S: 68 | Compare [23] [32]
